,month,flat_type,storey_range,floor_area_sqm,flat_model,remaining_lease,region,mrt_dist,no_of_mrt_within_1km,bus_dist,no_of_bus_within_1km,school_dist,no_of_schools_within_1km,school_type,school_level,school_sap,school_ip,resale_price
53286,1,3 ROOM,01 TO 03,68.0,New Generation,733.0,RCR,0.8587666704416351,1,0.0846545745793769,7,0.33375249877583885,3,GOVERNMENT SCHOOL,PRIMARY,0,0,270000.0
53287,1,3 ROOM,04 TO 06,73.0,New Generation,676.0,RCR,0.9722701955502272,1,0.2184010160058903,5,0.14433835241314444,2,GOVERNMENT SCHOOL,SECONDARY,0,0,295000.0
53288,1,3 ROOM,07 TO 09,67.0,New Generation,697.0,RCR,1.1882576975044703,0,0.03369186765599839,5,0.26164931946250825,4,GOVERNMENT SCHOOL,JUNIOR COLLEGE,0,1,270000.0
53289,1,3 ROOM,01 TO 03,67.0,New Generation,696.0,RCR,1.1882576975044703,0,0.03369186765599839,5,0.26164931946250825,4,GOVERNMENT SCHOOL,JUNIOR COLLEGE,0,1,230000.0
53290,1,3 ROOM,01 TO 03,68.0,New Generation,732.0,RCR,0.9061289300915748,1,0.07405582639075033,8,0.3887099147669544,3,GOVERNMENT SCHOOL,PRIMARY,0,0,262500.0
53291,1,3 ROOM,07 TO 09,67.0,New Generation,775.0,RCR,1.1174831935255596,0,0.10061904272011828,8,0.5119667598489216,2,GOVERNMENT SCHOOL,PRIMARY,0,0,275000.0
53292,1,3 ROOM,13 TO 15,74.0,New Generation,716.0,RCR,0.7533329740557433,1,0.1823576869310108,8,0.2200008366734145,1,GOVERNMENT SCHOOL,SECONDARY,0,0,326000.0
53293,1,3 ROOM,01 TO 03,74.0,New Generation,716.0,RCR,0.8925861657583388,1,0.07072925549496893,13,0.4110430344042895,1,GOVERNMENT SCHOOL,SECONDARY,0,0,290000.0
53294,1,3 ROOM,13 TO 15,74.0,New Generation,716.0,RCR,0.6385734922556932,1,0.1132184918845821,8,0.09128271525324924,1,GOVERNMENT SCHOOL,SECONDARY,0,0,330000.0
53295,1,3 ROOM,07 TO 09,82.0,New Generation,722.0,RCR,0.9439229314988096,1,0.06630622930643333,10,0.5398835350220805,1,GOVERNMENT SCHOOL,SECONDARY,0,0,338000.0
53296,1,3 ROOM,10 TO 12,68.0,New Generation,721.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,290000.0
53297,1,3 ROOM,13 TO 15,68.0,New Generation,721.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,260000.0
53298,1,3 ROOM,04 TO 06,67.0,New Generation,708.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,258000.0
53299,1,3 ROOM,04 TO 06,67.0,New Generation,716.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,260000.0
53300,1,3 ROOM,04 TO 06,74.0,New Generation,715.0,RCR,0.6385734922556932,1,0.1132184918845821,8,0.09128271525324924,1,GOVERNMENT SCHOOL,SECONDARY,0,0,285000.0
53301,1,3 ROOM,01 TO 03,67.0,New Generation,769.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,258000.0
53302,1,3 ROOM,04 TO 06,67.0,New Generation,708.0,RCR,1.0579956508094581,0,0.15365816042956768,4,0.08839336732666034,3,GOVERNMENT SCHOOL,PRIMARY,0,0,238000.0
53303,1,3 ROOM,04 TO 06,67.0,New Generation,712.0,RCR,1.1233059306280553,0,0.16878491315066407,7,0.2404980622842144,2,GOVERNMENT SCHOOL,PRIMARY,0,0,260000.0
53304,1,3 ROOM,07 TO 09,67.0,New Generation,706.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,282000.0
53305,1,3 ROOM,07 TO 09,68.0,New Generation,781.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,269000.0
53306,1,3 ROOM,01 TO 03,67.0,New Generation,712.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,242000.0
53307,1,3 ROOM,10 TO 12,67.0,New Generation,705.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,288000.0
53308,1,3 ROOM,01 TO 03,73.0,New Generation,699.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,290000.0
53309,1,3 ROOM,04 TO 06,73.0,New Generation,699.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,305000.0
53310,1,3 ROOM,07 TO 09,67.0,New Generation,687.0,RCR,1.9425379103651732,0,0.12200145175039336,11,0.347349707940024,3,GOVERNMENT SCHOOL,SECONDARY,0,0,285000.0
53311,1,3 ROOM,01 TO 03,67.0,New Generation,713.0,RCR,0.3161508648527074,1,0.15091883356166186,4,0.11218931665218364,2,GOVERNMENT SCHOOL,PRIMARY,0,0,260000.0
53312,1,3 ROOM,07 TO 09,74.0,New Generation,700.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,262000.0
53313,1,3 ROOM,10 TO 12,61.0,Improved,793.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,240000.0
53314,1,3 ROOM,07 TO 09,67.0,New Generation,780.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,265000.0
53315,1,3 ROOM,10 TO 12,67.0,New Generation,703.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,266000.0
53316,1,3 ROOM,07 TO 09,67.0,New Generation,780.0,RCR,0.6985489477267673,1,0.08876148235623135,8,0.3961555764979901,1,GOVERNMENT SCHOOL,PRIMARY,0,0,253000.0
